,gender,hispanic,white,black,asian,presapp,age,female,income,educ,ideology_7pt,republican,democrat,independent_other,AMID1,AMID2,AMID4,Amid,mar2,mar4,mar6,banmuslims,restrictmosques,sharia,noweapon,attention,agegroup,weight,mar_short
437,,0.0,1.0,0.0,0.0,0.5,58.0,0.0,0.0,0.4,0.5,0.0,0.0,1.0,3.0,3.0,3.0,0.5,3.0,4.0,4.0,0.75,0.5,0.75,0.75,0.75,0.6,2.331232711647413,0.6666667
438,,0.0,1.0,0.0,0.0,0.25,57.0,1.0,0.2,0.8,0.5,0.0,0.0,1.0,5.0,5.0,5.0,1.0,4.0,3.0,2.0,0.75,0.75,1.0,0.5,0.75,0.6,1.0156305621740607,0.5
439,,0.0,1.0,0.0,0.0,0.25,59.0,0.0,0.2,0.2,0.0,0.0,1.0,0.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.6,3.0725638133551185,0.5833333
440,,0.0,1.0,0.0,0.0,1.0,72.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,2.0,2.0,0.5,0.5,0.5,0.25,1.0,1.0,0.710803182512019,0.3333333
441,,0.0,1.0,0.0,0.0,0.75,71.0,0.0,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,3.0,3.0,4.0,0.5833333134651184,4.0,3.0,2.0,0.75,0.5,1.0,0.0,0.75,1.0,1.3975567841514087,0.5
442,,0.0,1.0,0.0,0.0,0.0,70.0,0.0,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,3.0,1.0,0.25,0.25,0.0,0.75,0.75,1.0,1.3975567841514087,0.3333333
443,,0.0,1.0,0.0,0.0,0.75,75.0,1.0,0.4,0.2,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,0.25,1.0,1.8453261011990192,0.8333334
444,,0.0,1.0,0.0,0.0,1.0,38.0,0.0,0.4,0.2,1.0,1.0,0.0,0.0,4.0,4.0,5.0,0.8333333730697632,3.0,3.0,2.0,0.5,0.5,0.5,0.5,0.25,0.2,2.795863059110168,0.4166667
445,,0.0,1.0,0.0,0.0,0.0,64.0,1.0,0.6,1.0,0.16666666666666666,0.0,1.0,0.0,3.0,4.0,4.0,0.6666666865348816,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4569060783929695,0.0
446,,0.0,1.0,0.0,0.0,0.75,66.0,0.0,0.8,0.8,1.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,0.75,0.5,1.0,0.5,1.0,0.8,0.890695766315581,0.25
447,,0.0,1.0,0.0,0.0,0.25,38.0,1.0,0.8,0.8,0.16666666666666666,0.0,1.0,0.0,4.0,4.0,4.0,0.75,2.0,2.0,2.0,0.5,0.5,0.5,0.5,0.75,0.2,0.9254739202924593,0.25
448,,0.0,1.0,0.0,0.0,0.75,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.4166666865348816,2.0,3.0,3.0,0.25,0.25,0.25,0.5,0.25,0.4,5.0,0.4166667
449,,0.0,1.0,0.0,0.0,0.0,71.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.1666666567325592,1.0,1.0,1.0,0.0,0.0,0.5,0.25,1.0,1.0,1.0704117423331847,0.0
450,,0.0,1.0,0.0,0.0,0.0,66.0,1.0,0.8,0.8,0.5,0.0,0.0,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.8,0.5927019205790289,0.08333334
