,age,gender,presapp,female,male,white,black,hispanic,asian,otherrace,income,educ,democrat,republican,independent_other,ideology_7pt,AMID1,AMID2,AMID4,AMID5,Amid,mar2,mar4,mar6,banmuslims,patrol,noweapon,sharia,restrictmosques,attention,agegroup,weight,mar_short
2241,36.0,2.0,0.1666666716337204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,0.5,5.0,4.0,4.0,3.0,0.75,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.7432588510107494,0.5
2242,26.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.4,0.0,0.0,1.0,0.5,4.0,4.0,5.0,4.0,0.8125,5.0,3.0,3.0,0.75,0.75,0.0,0.5,0.0,0.25,0.0,0.9024638119726328,0.6666667
2243,37.0,1.0,0.8333333134651184,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,0.16666666666666666,2.0,4.0,3.0,2.0,0.4375,3.0,3.0,4.0,0.75,0.5,0.75,0.0,0.5,0.5,0.2,0.9881532121348656,0.5833333
2244,31.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.5,5.0,4.0,5.0,4.0,0.875,4.0,3.0,4.0,1.0,0.25,0.5,0.25,0.5,0.75,0.2,1.1974266466183248,0.6666667
2245,49.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.8,0.0,0.0,1.0,0.5,5.0,4.0,5.0,3.0,0.8125,2.0,2.0,2.0,0.0,0.0,0.25,0.0,0.25,0.75,0.4,1.2970593836395379,0.25
2246,36.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.5,5.0,5.0,5.0,4.0,0.9375,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.9881532121348656,0.5
2247,34.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,0.0,0.0,4.0,5.0,4.0,1.0,0.625,5.0,5.0,4.0,0.75,0.75,1.0,0.75,0.75,1.0,0.2,0.6198155211008894,0.9166666
2248,32.0,2.0,0.8333333134651184,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,4.0,1.0,0.5,0.75,0.5,1.0,0.5,0.2,0.6252518524502932,0.5833333
2249,34.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.5,2.0,1.0,1.0,1.0,0.0625,4.0,4.0,2.0,0.25,1.0,0.75,0.75,1.0,0.25,0.2,0.5160389619096967,0.5833333
2250,62.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,1.0,0.8,0.7212729518627414,0.5
2251,41.0,1.0,0.1666666716337204,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.16666666666666666,3.0,3.0,4.0,4.0,0.625,4.0,1.0,2.0,0.0,0.25,0.25,0.5,0.25,0.75,0.4,1.4021202712567298,0.3333333
2252,34.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,1.0,0.16666666666666666,3.0,3.0,3.0,2.0,0.4375,2.0,2.0,3.0,0.5,0.5,0.5,0.25,0.25,0.5,0.2,0.5529523929787215,0.3333333
2253,38.0,2.0,0.1666666716337204,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.5,4.0,3.0,2.0,2.0,0.4375,4.0,1.0,1.0,0.25,0.25,0.5,0.5,0.25,0.5,0.2,0.5160389619096967,0.25
2254,38.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,1.0,0.0,0.0,0.16666666666666666,2.0,3.0,3.0,5.0,0.5625,4.0,2.0,3.0,1.0,0.5,0.75,1.0,0.0,0.75,0.2,0.7432588510107494,0.5
2255,40.0,2.0,0.6666666865348816,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.0,0.0,0.5,4.0,5.0,5.0,5.0,0.9375,4.0,3.0,3.0,0.5,0.5,0.75,0.25,0.75,0.5,0.4,0.732074691561098,0.5833333
2256,22.0,1.0,0.6666666865348816,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.5,5.0,3.0,3.0,2.0,0.5625,5.0,2.0,5.0,1.0,0.25,0.75,1.0,1.0,0.75,0.0,1.0116466763425185,0.75
2257,29.0,2.0,0.3333333432674408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.5,4.0,4.0,5.0,4.0,0.8125,2.0,3.0,2.0,0.5,0.5,0.5,0.75,0.5,0.25,0.0,0.471320495356566,0.3333333
2258,24.0,1.0,0.1666666716337204,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,4.0,0.75,3.0,3.0,3.0,0.25,0.5,0.0,0.75,0.0,0.5,0.0,3.8525525959832336,0.5
2259,59.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.8333333333333334,5.0,5.0,5.0,5.0,1.0,4.0,3.0,2.0,0.75,0.75,0.5,0.75,0.5,0.75,0.6,0.8138399962309552,0.5
2260,49.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4,1.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.625,4.0,2.0,2.0,0.75,1.0,0.75,0.75,0.75,0.5,0.4,1.0797551760223514,0.4166667
2261,25.0,1.0,0.3333333432674408,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.16666666666666666,3.0,5.0,5.0,2.0,0.6875,4.0,1.0,5.0,0.75,0.5,0.75,0.5,0.5,0.75,0.0,0.9024638119726328,0.5833333
2262,29.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.3333333333333333,3.0,2.0,2.0,2.0,0.3125,2.0,2.0,2.0,0.25,0.25,0.25,1.0,0.25,0.75,0.0,0.471320495356566,0.25
2263,58.0,1.0,0.3333333432674408,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.8,0.0,0.0,1.0,0.5,4.0,3.0,4.0,3.0,0.625,2.0,2.0,3.0,0.25,0.25,0.25,0.25,0.25,0.75,0.6,1.7474522916945001,0.3333333
2264,23.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.5,5.0,5.0,5.0,2.0,0.8125,3.0,2.0,2.0,0.25,0.75,0.75,0.25,0.25,0.25,0.0,0.9440710931278571,0.3333333
2265,42.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.16666666666666666,4.0,4.0,5.0,2.0,0.6875,5.0,4.0,4.0,1.0,0.75,1.0,1.0,1.0,0.5,0.4,0.732074691561098,0.8333334
2266,46.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,1.0,0.0,0.8333333333333334,5.0,4.0,4.0,2.0,0.6875,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.2104049320525432,0.9166666
2267,37.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.16666666666666666,5.0,3.0,3.0,2.0,0.5625,3.0,2.0,2.0,0.75,0.25,0.25,0.75,0.75,0.75,0.2,1.1974266466183248,0.3333333
2268,36.0,2.0,0.6666666865348816,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.5,4.0,4.0,4.0,3.0,0.6875,4.0,3.0,3.0,0.75,0.75,0.75,0.5,0.5,0.25,0.2,0.6252518524502932,0.5833333
2269,25.0,2.0,0.3333333432674408,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.5,5.0,4.0,5.0,5.0,0.9375,4.0,4.0,3.0,0.25,1.0,0.5,0.5,0.75,0.5,0.0,1.0205238294919672,0.6666667
2270,49.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,1.0,0.0,0.3333333333333333,4.0,4.0,5.0,5.0,0.875,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.75,0.4,0.732074691561098,1.0
